dataset,abco,ba,cs,da,de,dummy,fa,ga,goa,gwo,pso,woa
breast-cancer,5.0,6.0,2.0,9.5,8.0,9.5,12.0,1.0,11.0,4.0,7.0,3.0
dermatology,4.0,8.0,2.0,9.0,6.0,12.0,10.0,7.0,11.0,1.0,5.0,3.0
ecoli,1.0,4.0,5.0,9.5,7.0,9.5,11.5,8.0,11.5,2.5,6.0,2.5
ionosphere,4.0,6.0,1.0,9.0,7.0,11.0,12.0,8.0,10.0,2.0,5.0,3.0
iris,3.5,3.5,3.5,9.0,7.5,10.0,12.0,3.5,11.0,3.5,7.5,3.5
parkinsons,4.0,6.0,1.0,9.0,7.0,12.0,10.0,2.0,11.0,5.0,8.0,3.0
sonar,2.0,4.0,1.0,8.0,7.0,11.0,9.0,12.0,10.0,5.0,6.0,3.0
spambase-460,4.0,7.0,1.0,9.0,8.0,12.0,10.0,6.0,11.0,3.0,5.0,2.0
spectf-heart,4.0,6.0,1.0,8.0,7.0,12.0,11.0,3.0,10.0,5.0,9.0,2.0
waveform5000,2.0,5.0,3.0,9.0,6.0,12.0,10.0,8.0,11.0,1.0,7.0,4.0
wdbc,4.0,6.0,1.0,9.0,7.0,10.5,10.5,8.0,12.0,3.0,5.0,2.0
wine,3.0,5.5,2.0,9.0,7.0,10.0,12.0,8.0,11.0,1.0,5.5,4.0
yeast,1.0,3.0,6.5,12.0,5.0,11.0,10.0,9.0,8.0,2.0,6.5,4.0
zoo,3.0,8.0,2.0,9.0,5.0,11.0,10.0,6.5,12.0,1.0,6.5,4.0
Mean,3.18,5.57,2.29,9.14,6.75,10.96,10.71,6.43,10.75,2.79,6.36,3.07
