dataset,abco,ba,cs,da,de,dummy,fa,ga,goa,gwo,pso,woa
breast-cancer,5.0,10.0,3.0,2.0,4.0,6.0,12.0,8.0,11.0,7.0,9.0,1.0
dermatology,2.0,3.0,8.0,10.0,5.0,12.0,9.0,1.0,11.0,5.0,5.0,7.0
diabetes,1.0,6.0,5.0,7.0,8.5,11.0,10.0,2.5,12.0,4.0,2.5,8.5
ecoli,9.0,3.0,11.0,8.0,4.5,6.0,7.0,12.0,2.0,1.0,10.0,4.5
ionosphere,4.0,5.0,1.0,9.0,11.0,6.0,12.0,8.0,7.0,2.0,10.0,3.0
iris,2.5,11.0,7.0,8.0,5.0,10.0,9.0,6.0,12.0,2.5,4.0,1.0
parkinsons,4.0,2.0,1.0,9.0,5.0,10.0,8.0,3.0,12.0,6.5,6.5,11.0
sonar,2.0,8.0,3.0,7.0,5.0,11.0,12.0,9.0,4.0,1.0,10.0,6.0
spambase-460,2.0,4.0,1.0,11.0,5.0,9.0,10.0,8.0,12.0,3.0,7.0,6.0
spectf-heart,5.0,7.0,10.0,2.0,8.0,12.0,11.0,1.0,9.0,4.0,6.0,3.0
waveform5000,6.5,6.5,4.0,11.0,3.0,10.0,9.0,2.0,12.0,1.0,8.0,5.0
wdbc,1.0,9.0,2.0,11.0,5.0,12.0,10.0,6.0,8.0,3.0,7.0,4.0
wine,8.0,7.0,1.0,9.0,3.0,10.0,12.0,2.0,11.0,4.0,6.0,5.0
yeast,2.0,4.0,8.5,7.0,1.0,12.0,6.0,10.0,8.5,3.0,11.0,5.0
zoo,4.0,9.0,2.0,1.0,7.0,10.0,11.0,8.0,12.0,6.0,3.0,5.0
Mean,3.87,6.3,4.5,7.47,5.33,9.8,9.87,5.77,9.57,3.53,7.0,5.0
